Regulator	Interaction	Target	Weight
AT5G63470	regulates	AT1G33600	0.232153552005164
AT3G48590	regulates	AT1G49530	0.178153465457788
AT5G63470	regulates	AT1G54120	0.216397119514316
AT1G01260	regulates	AT1G67265	0.246288942661816
AT3G48590	regulates	AT1G68520	0.214322866663094
AT5G63470	regulates	AT1G68520	0.185086278309359
AT1G01260	regulates	AT1G70920	0.179715139334765
AT1G58100	regulates	AT1G72220	0.189528989618635
AT1G01260	regulates	AT1G72650	0.0489199668116174
AT3G48590	regulates	AT1G75450	0.347852505956198
AT1G01260	regulates	AT1G76640	0.137468406205105
AT3G48590	regulates	AT1G78080	0.0558395441725186
AT1G58100	regulates	AT1G79430	0.495340858880809
AT5G06110	regulates	AT1G79430	0.35117461693806
AT3G48590	regulates	AT2G14210	0.216907996261164
AT5G63470	regulates	AT2G22200	0.188548872894268
AT1G58100	regulates	AT2G26580	0.652561282411422
AT3G48590	regulates	AT2G28810	0.171468784570913
AT5G63470	regulates	AT2G34430	0.475211653662697
AT1G58100	regulates	AT2G38340	0.113079833938816
AT5G06110	regulates	AT2G38340	0.154910766110786
AT1G01260	regulates	AT2G39370	0.474177643095911
AT1G58100	regulates	AT2G42430	0.204648523103979
AT3G48590	regulates	AT2G44910	0.129740617506835
AT5G63470	regulates	AT2G44910	0.138776363306515
AT1G01260	regulates	AT2G46650	0.0832315168112772
AT5G63470	regulates	AT2G46650	0.348047815323888
AT1G01260	regulates	AT3G15510	0.0922576054030075
AT5G06110	regulates	AT3G18010	0.149306304329544
AT1G01260	regulates	AT3G20770	0
AT3G48590	regulates	AT3G22275	0.224132746305173
AT5G06110	regulates	AT3G24140	0.879416496933843
AT1G58100	regulates	AT3G28857	0.136254750550125
AT3G48590	regulates	AT3G28857	0.0684260769245628
AT1G01260	regulates	AT3G45610	0.156196769176759
AT1G58100	regulates	AT3G48920	0.509393838947402
AT1G01260	regulates	AT3G50750	0.0672257644885514
AT5G06110	regulates	AT3G51060	0.154640629090731
AT5G63470	regulates	AT3G51450	0.155358210061844
AT1G01260	regulates	AT3G60390	0.282647161852636
AT5G63470	regulates	AT3G61950	0.717957397667382
AT3G48590	regulates	AT4G06746	0.165790303675362
AT5G63470	regulates	AT4G06746	0.19839173134917
AT1G01260	regulates	AT4G09460	0.137688276671669
AT3G48590	regulates	AT4G11050	0.309702073829791
AT5G63470	regulates	AT4G11050	0.274505430052398
AT1G01260	regulates	AT4G13790	0.0787246537689445
AT5G06110	regulates	AT4G13790	0.30618388940849
AT1G01260	regulates	AT4G15396	0.0738087928972927
AT1G01260	regulates	AT4G15440	0.127934222044584
AT1G58100	regulates	AT4G16780	0.0787062862326557
AT3G48590	regulates	AT4G16780	0.157434273057706
AT5G63470	regulates	AT4G16780	0.0856383198820622
AT1G01260	regulates	AT4G28560	0.122795096490901
AT1G58100	regulates	AT4G31380	0.228775942837985
AT5G63470	regulates	AT4G32880	0.164502474108784
AT5G63470	regulates	AT4G32890	0.559652634474771
AT1G01260	regulates	AT4G35580	0.115089946257211
AT1G58100	regulates	AT4G35720	0.323816850669603
AT5G63470	regulates	AT4G36110	0.199993682931027
AT1G01260	regulates	AT4G37770	1
AT5G06110	regulates	AT4G37790	0.0167035841779417
AT3G48590	regulates	AT5G02580	0.151694283049516
AT1G01260	regulates	AT5G06110	0.0692428546312678
AT5G63470	regulates	AT5G06110	0.268922033429877
AT3G48590	regulates	AT5G06870	0.262339981726239
AT5G63470	regulates	AT5G06870	0.23677450877686
AT1G01260	regulates	AT5G07010	0.0698189289468412
AT3G48590	regulates	AT5G13220	0.197810837700812
AT5G63470	regulates	AT5G13220	0.158000868691752
AT1G58100	regulates	AT5G14200	0.151345081353761
AT1G01260	regulates	AT5G17490	0.110278268307023
AT5G06110	regulates	AT5G22890	0.166624239567036
AT1G58100	regulates	AT5G39610	0.293211381424824
AT5G63470	regulates	AT5G39610	0.0251589704476447
AT5G06110	regulates	AT5G41410	0.154329250608442
AT1G01260	regulates	AT5G42650	0.154604253018144
AT1G58100	regulates	AT5G50335	0.228749077818066
AT1G58100	regulates	AT5G53660	0.156541313839296
AT5G63470	regulates	AT5G56270	0.340477462457966
AT5G63470	regulates	AT5G56780	0.292708136070663
AT1G58100	regulates	AT5G58360	0.268114294725174
AT5G06110	regulates	AT5G62940	0.383949656003541
AT5G63470	regulates	AT5G63470	0.226565725925377
AT5G06110	regulates	AT5G67430	0.249560437689206
AT1G68640	regulates	AT1G01580	0.900908814554131
AT2G28450	regulates	AT1G05805	0.711724662642774
AT2G28450	regulates	AT1G08920	0.724753018673753
AT2G28450	regulates	AT1G17750	0.717022432613924
AT2G28450	regulates	AT1G18100	0.229933422786459
AT1G43700	regulates	AT1G19670	1
AT1G68640	regulates	AT1G21450	0.0683753631347334
AT2G28450	regulates	AT1G43700	0
AT1G68640	regulates	AT1G49720	0.412298040956057
AT1G68640	regulates	AT1G51640	0.712235162085864
AT2G28450	regulates	AT1G51830	0.213798299845655
AT2G28450	regulates	AT1G68640	0.86582530534075
AT1G68640	regulates	AT1G69930	0.227331303097187
AT2G28450	regulates	AT1G71030	0.328559527964269
AT2G28450	regulates	AT1G79310	0.452963859125247
AT1G43700	regulates	AT1G79700	0.265426073353849
AT1G68640	regulates	AT2G23030	0.254092498819378
AT1G68640	regulates	AT2G28450	0.495822107381228
AT2G28450	regulates	AT2G28510	0.614734659479568
AT2G28450	regulates	AT2G41240	0.348373181895706
AT2G28450	regulates	AT2G41690	0.486528300663226
AT1G68640	regulates	AT2G47850	0.315736373010609
AT2G28450	regulates	AT3G05770	0.274952732386742
AT2G28450	regulates	AT3G07000	0.425071628041547
AT2G28450	regulates	AT3G07650	0.309926557678172
AT2G28450	regulates	AT3G14020	0.337166177104052
AT2G28450	regulates	AT3G15500	0.513818545054184
AT2G28450	regulates	AT3G17690	0.632741289969414
AT1G43700	regulates	AT3G23240	0.822969604362745
AT2G28450	regulates	AT3G46130	0.219252250765656
AT1G68640	regulates	AT3G46640	0.106067567198901
AT2G28450	regulates	AT3G53200	0.129680137683147
AT2G28450	regulates	AT3G53232	0.618551797783625
AT2G28450	regulates	AT3G58710	0.291842597015222
AT2G28450	regulates	AT3G61630	0.141656481120733
AT2G28450	regulates	AT4G00210	0.5391903787023
AT1G68640	regulates	AT4G00940	0.634716110327311
AT1G68640	regulates	AT4G19690	0.293656878453695
AT2G28450	regulates	AT4G31940	0.382946644793786
AT2G28450	regulates	AT4G36870	0.435205079315076
AT1G68640	regulates	AT5G01900	0.470559181589281
AT1G43700	regulates	AT5G02090	0.350791383865486
AT2G28450	regulates	AT5G18030	0.273874627177746
AT1G68640	regulates	AT5G24920	0.486332127573056
AT1G68640	regulates	AT5G48150	0.507694965368704
AT1G68640	regulates	AT5G48250	0.196119881524025
AT2G28450	regulates	AT5G64770	0.458165649273971
AT2G28450	regulates	AT5G65800	0.335770422583814
AT5G11260	regulates	AT1G02810	0.396920291380891
AT3G57920	regulates	AT1G07135	0.977522365817348
AT4G17230	regulates	AT1G09950	0.232665788546843
AT5G11260	regulates	AT1G12610	0.234536644228487
AT4G17230	regulates	AT1G18300	0.429562812955961
AT4G17230	regulates	AT1G19380	0.420647758351298
AT4G17230	regulates	AT1G19510	0.411055497740554
AT4G17230	regulates	AT1G20310	0.684816596352808
AT4G17230	regulates	AT1G20520	0.394712214417934
AT5G11260	regulates	AT1G24140	0.436333375276548
AT3G57920	regulates	AT1G27730	0.344841363340112
AT4G17230	regulates	AT1G30135	0.378931126342196
AT5G11260	regulates	AT1G35210	0.305365698355703
AT3G57920	regulates	AT1G50040	0.648041873177014
AT5G11260	regulates	AT1G61840	0.222695854523907
AT5G11260	regulates	AT1G66160	0.283552243703829
AT3G57920	regulates	AT1G72940	0.572287053305481
AT3G57920	regulates	AT1G74450	0.346460093566836
AT4G17230	regulates	AT1G74930	0.388694173523355
AT4G17230	regulates	AT2G15760	0.34649898351122
AT4G17230	regulates	AT2G22500	0.395865206875767
AT4G17230	regulates	AT2G22880	0.353850003294411
AT5G11260	regulates	AT2G25460	0.342990668190393
AT3G57920	regulates	AT2G27080	0
AT4G17230	regulates	AT2G30040	0.280674380803188
AT3G57920	regulates	AT2G35290	0.31855279957932
AT3G57920	regulates	AT2G35710	0.162687113542585
AT5G11260	regulates	AT2G35930	0.470142227594507
AT4G17230	regulates	AT2G37430	0.495112737622307
AT4G17230	regulates	AT2G39650	0.368218293428843
AT5G11260	regulates	AT2G40140	0.309380607702172
AT3G57920	regulates	AT3G02140	0.465625404346681
AT5G11260	regulates	AT3G11390	0.358766691755844
AT4G17230	regulates	AT3G16350	0.413518795418816
AT4G17230	regulates	AT3G16860	0.306046891494252
AT5G11260	regulates	AT3G20600	0.393520465808783
AT3G57920	regulates	AT3G23630	1
AT4G17230	regulates	AT3G25655	0.775028486816963
AT5G11260	regulates	AT3G29000	0.372219977302551
AT5G11260	regulates	AT3G45530	0.332288583068511
AT3G57920	regulates	AT3G47960	0.620805256611005
AT3G57920	regulates	AT3G50260	0.487614440082594
AT3G57920	regulates	AT3G50930	0.927988047268276
AT3G57920	regulates	AT3G57920	0.215969050155387
AT4G17230	regulates	AT3G61190	0.442119417147713
AT4G17230	regulates	AT4G01120	0.378469220053621
AT5G11260	regulates	AT4G03400	0.468475638680791
AT5G11260	regulates	AT4G08040	0.235854887248059
AT3G57920	regulates	AT4G13340	0.325057950992701
AT3G57920	regulates	AT4G17490	0.242530190685061
