,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT5G63470-AT4G32890,0.0,0.0,0.0,0.559652634474771,0.0,0.0,0.520791132133945,0.3684210526315789,0.0
AT5G63470-AT3G02493,0.0,0.0,0.0,0.0,0.3397093169295851,0.0,0.473256621874695,0.4210526315789474,0.0
AT1G51140-AT5G14340,0.0,0.5874414357198873,0.5166262515379271,0.0,0.5993162520033115,0.5185206303287526,0.0,0.7200582169953782,0.4354391498978039
AT5G06110-AT5G17490,0.0,0.5079994728988833,0.4822246179881194,0.0,0.5162111553580524,0.5147831995054107,0.763165497534164,0.0,0.5592422680974803
AT4G17230-AT4G25480,0.0,0.4739579737429255,0.4133368364043058,0.0,0.4838098017939707,0.4109653195432041,0.0,0.7658350908697004,0.0
AT1G30330-AT1G58100,1.0,0.701693418399635,0.701693418399635,0.0,0.701693418399635,0.701693418399635,0.0,0.701693418399635,0.701693418399635
AT1G58100-AT4G32280,0.0,0.3940324045609933,0.3456551852103147,0.0,0.4788946862960245,0.3540261843732623,0.574558581096658,0.6219027616768961,0.0
AT5G06110-AT1G74950,0.0,0.5350308438021034,0.6887537188315914,0.0,0.5410888013994043,0.7185686156207172,0.905116382188169,0.0,0.7218653387228241
AT4G17230-AT3G23630,0.0,0.525318654135093,0.4709448150157761,0.0,0.4976908444651226,0.5253685096186627,0.394212269839981,0.6274582303576686,0.5983735493656058
AT5G37020-AT3G15570,0.0,0.6484062349410012,0.7441443951518181,0.0,0.6481658917827804,0.7460398602740197,0.0,0.400436715906537,0.7345343179302125
AT3G57920-AT3G50260,0.518181470980223,0.0,0.0,0.487614440082594,0.0,0.0,0.0,0.0,0.0
AT1G58100-AT4G18170,0.0,0.3770584857348126,0.0,0.0,0.4602364517650105,0.0,0.0,0.4736842105263157,0.0
AT3G57920-AT2G22500,0.0,0.6624328630220299,0.5535895782742137,0.0,0.628160562544136,0.56332475584702,0.0,0.4736842105263157,0.5071682636234297
AT1G43700-AT4G31940,0.0,0.8701385785462796,0.8360519296599257,0.0,0.8806312175617363,0.8311033598862637,0.0,0.7284761126494089,0.6911432658720416
AT3G48590-AT1G72010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4387459367718667
AT3G48590-AT1G75450,0.0,0.0,0.0,0.347852505956198,0.0,0.0,0.0,0.0,0.0
AT4G36730-AT2G35075,0.0,0.0,0.0,0.0,0.0,0.0,0.355952988053144,0.0,0.0
AT4G36730-AT5G58770,0.594668841198719,0.0,0.0,0.554989855697759,0.0,0.0,0.755478376012255,0.0,0.0
AT2G36080-AT5G44110,0.0,0.8872853580481687,0.7610896179149198,0.0,0.8725025653728204,0.7616004426582373,0.0,0.8947368421052633,0.7190008160265432
AT1G04990-AT1G06002,0.0,0.3563095490658937,0.0,0.0,0.3603688090623667,0.0,0.0,0.0,0.0
AT3G48590-AT2G14210,0.0,0.0,0.0,0.0,0.0,0.0,0.379600550611784,0.0,0.0
AT1G51140-AT3G23810,0.345012362911492,0.0,0.0,0.331807206711867,0.0,0.0,0.0,0.4736842105263157,0.0
AT5G37020-AT3G08660,0.0,0.5480421751069066,0.4480755231206217,0.0,0.5535276244200802,0.4572676253035857,0.912674390839803,0.4210526315789474,0.5013587054613755
AT5G37020-AT2G31560,0.0,0.3344332795119198,0.0,0.0,0.3357659989893825,0.0,0.0,0.3382983770471044,0.0
AT1G51140-AT4G24020,0.0,0.0,0.0,0.0,0.0,0.0,0.508941210551972,0.0,0.0
AT1G01260-AT2G45190,0.0,0.370107583764517,0.0,0.0,0.3604387317963947,0.0,0.0,0.0,0.0
